alsSHQ	als	Albanian, Tosk	public
adt	adt	Adnyamathanha	cc
alh	alh	Alawa	cc
aly	aly	Alyawarr	cc
aoi	aoi	Anindilyakwa	cc
amx	amx	Anmatyerre	cc
are	are	Arrarnta, Western	cc
aer	aer	Arrernte, Eastern	cc
awk	awk	Awabakal	public
bvr	bvr	Burarra	cc
dwy	dwy	Dhuwaya	cc
dif	dif	Dieri	public
djr	djr	Djambarrpuyngu	cc
dhgduwadha	dhg	Djangu	cc
dhg	dhg	Djangu	cc
djj	djj	Djeebbana	cc
dji	dji	Djinang	cc
engnna	eng	English	cc
engPEV	eng	English	cc
kld	kld	Gamilaraay	public
wrk	wrk	Garrwa	cc
gnn	gnn	Gumatj	cc
gupk	gup	Gunwinggu	cc
gup	gup	Gunwinggu	cc
gue	gue	Gurinji	cc
kky	kky	Guugu Yimidhirr	public
mwp	mwp	Kala Lagaw Ya	cc
gia	gia	Kitja	cc
rop	rop	Kriol	cc
kux	kux	Kukatja	cc
gvn	gvn	Kuku-Yalanji	cc
wlg	wlg	Kunbarlang	cc
kjn	kjn	Kunjen	cc
mpj	mpj	Martu Wangka	cc
mph	mph	Maung	cc
ulk	ulk	Meriam	cc
ulk1902	ulk	Meriam	public
mwf2018	mwf	Murrinh-Patha	cc
nay	nay	Narrinyeri	public
ntj	ntj	Ngaanyatjarra	cc
nuy	nuy	Nunggubuyu	cc
nna	nna	Nyangumarta	cc
nys	nys	Nyunga	cc
piu2006	piu	Pintupi-Luritja	cc
pjt	pjt	Pitjantjatjara	cc
rmb	rmb	Rembarunga	cc
thd	thd	Thayore	cc
tiw	tiw	Tiwi	cc
tcs	tcs	Torres Strait Creole	cc
wmt	wmt	Walmajarri	cc
wbp	wbp	Warlpiri	cc
wim	wim	Wik-Mungkan	cc
wro	wro	Worrorra	public
jao	jao	Yanyuwa	cc
yij	yij	Yindjibarndi	cc
tkr	tkr	Tsakhur	cc
benirv	ben	Bengali	cc
benobcv	ben	Bengali	cc
bel	bel	Belarusian	cc
beln	bel	беларуская	cc
mopNT	mop	Maya, Mopán	cc
bba	bba	Baatonum	cc
tbzsim	tbz	Ditammari	cc
fue	fue	Fulfulde, Borgu	cc
fuhbkf	fuh	Fulfulde, Western Niger	cc
dop	dop	Lukpa	cc
mkl	mkl	Mokole	cc
cavNT	cav	Cavineña	cc
caoNT	cao	Chácobo	cc
capNT	cap	Chipaya	cc
caxNT	cax	Chiquitano	cc
eseNT	ese	Ese Ejja	cc
guiNT	gui	Guaraní, Eastern Bolivian	cc
gnwNT	gnw	Guaraní, Western Bolivian	cc
gyrNT	gyr	Guarayu	cc
ignNT	ign	Ignaciano	cc
qulNT	qul	Quechua, North Bolivian	cc
quhNT	quh	Quechua, South Bolivian	cc
srqNT	srq	Sirionó	cc
tnaNT	tna	Tacana	cc
nhr	nhr	Naro	cc
tsn	tsn	Setswana	cc
apnNT	apn	Apinayé	cc
apuNT	apu	Apurinã	cc
bkqNT	bkq	Bakairí	cc
gubBl	gub	Guajajára	cc
